rp_Co,rp_Ni,rs_Co,rs_Ni,theta,rp_Co^2,rp_Ni^2,rs_Co^2,rs_Ni^2,rp_Ni^2 - rs_Ni^2,rp_Ni^2 + rs_Ni^2,rp_Co^2 - rs_Co^2,rp_Co^2 + rs_Co^2
(0.740852242318+0.323780233983j),(0.740532876752+0.342453788421j),(-0.792809646887-0.278953512654j),(-0.793819792028-0.294794217033j),25,(0.444028405029+0.479746624729j),(0.431114344346+0.507196578188j),(0.550732073975+0.44231407173j),(0.543246231819+0.468026968113j),(-0.112131887473+0.039169610076j),(0.974360576166+0.975223546301j),(-0.106703668946+0.0374325529995j),(0.994760479005+0.922060696459j)
(0.738420038593+0.325751502612j),(0.73803237221+0.344547215367j),(-0.794764575182-0.277134062846j),(-0.795816919162-0.292860059189j),26,(0.439150111942+0.481082874261j),(0.425978998812+0.508573997391j),(0.554847441175+0.440512671453j),(0.547557554556+0.466125980099j),(-0.121578555743+0.0424480172916j),(0.973536553368+0.97469997749j),(-0.115697329232+0.0405702028079j),(0.993997553117+0.921595545713j)
(0.735857200974+0.327818006207j),(0.735397142088+0.346741440517j),(-0.796787544755-0.275239496469j),(-0.797882814193-0.29084617887j),27,(0.434021175032+0.482454480952j),(0.42057933002+0.509985328799j),(0.55911361106+0.438614805223j),(0.552025485422+0.464122335388j),(-0.131446155402+0.0458629934108j),(0.972604815442+0.974107664187j),(-0.125092436028+0.0438396757293j),(0.993134786092+0.921069286175j)
(0.733158882068+0.329981993724j),(0.732622139107+0.349038799984j),(-0.798877569712-0.273269450458j),(-0.800016388923-0.288752207558j),28,(0.428633830173+0.483858459242j),(0.414907114815+0.51142710455j),(0.563529178835+0.436617668917j),(0.556648385176+0.462012996768j),(-0.141741270361+0.0494141077823j),(0.971555499991+0.973440101318j),(-0.134895348662+0.0472407903247j),(0.992163009008+0.920476128159j)
(0.730319881758+0.332245832589j),(0.729701947721+0.351441750621j),(-0.80103362905-0.271223561094j),(-0.802216517108-0.286577777101j),29,(0.422979836418+0.485291474341j),(0.408953628428+0.512895459878j),(0.568092654776+0.434518386854j),(0.561424517993+0.459794852453j),(-0.152470889565+0.0531006074247j),(0.970378146422+0.972690312331j),(-0.145112818358+0.0507730874875j),(0.991072491194+0.919809861195j)
(0.72733462163+0.334612012114j),(0.726630757365+0.353952873111j),(-0.803254666988-0.269101465344j),(-0.804482034902-0.284322521161j),30,(0.41705045317+0.486749802448j),(0.402709621165+0.514386088521j),(0.572802461388+0.432314015861j),(0.56635204844+0.457464720784j),(-0.163642427275+0.0569213677365j),(0.969061669605+0.971850809305j),(-0.155752008218+0.0544357865869j),(0.989852914557+0.919063818309j)
(0.724197116941+0.337083146891j),(0.723402333117+0.35657487496j),(-0.805539593322-0.266902802228j),(-0.806811741316-0.281986076699j),31,(0.410836416267+0.488229286295j),(0.396165294106+0.515894192955j),(0.577656930571+0.430001549527j),(0.571429038474+0.455019355137j),(-0.175263744367+0.060874837818j),(0.96759433258+0.970913548091j),(-0.166820514304+0.058227736769j),(0.988493346839+0.918230835822j)
(0.720900945885+0.339661980098j),(0.72000998355+0.359310593337j),(-0.807887283806-0.264627214217j),(-0.809204398727-0.279568085478j),32,(0.404327913054+0.489725285468j),(0.389310273927+0.517414428796j),(0.582654300832+0.42757792263j),(0.576653444501+0.452455449025j),(-0.187343170574+0.0649589797707j),(0.965963718428+0.969869877821j),(-0.178326387778+0.0621473628378j),(0.986982213886+0.917303208098j)
(0.717439215858+0.342351386686j),(0.716446525443+0.362162997683j),(-0.810296580572-0.262274348647j),(-0.811658733405-0.277068195601j),33,(0.397514556485+0.491232620823j),(0.382133586929+0.518940842668j),(0.587792714529+0.425040015761j),(0.582023114499+0.449769641416j),(-0.19988952757+0.0691712012523j),(0.964156701428+0.968710484085j),(-0.190278158045+0.0661926050623j),(0.985307271014+0.916272636584j)
(0.713804526404+0.345154376344j),(0.712704245048+0.365135192002j),(-0.812766292568-0.259843859164j),(-0.814173436085-0.27448606306j),34,(0.390385358405+0.492745512285j),(0.374623632472+0.520466802712j),(0.593070215189+0.422384660119j),(0.587535785213+0.446958522238j),(-0.212912152741+0.0735082804742j),(0.962159417685+0.967425324951j),(-0.202684856784+0.0703608521666j),(0.983455573594+0.915130172404j)
(0.709988928491+0.348074096176j),(0.708774855512+0.368230416718j),(-0.815295196034-0.257335407187j),(-0.816747162574-0.271821353314j),35,(0.382928702151+0.494257509159j),(0.36676815601+0.521984920809j),(0.598484744884+0.419608642498j),(0.593189079455+0.444018638092j),(-0.226420923444+0.077966282717j),(0.959957235465+0.9660035589j),(-0.215556042732+0.0746488666609j),(0.981413447035+0.913866151658j)
(0.705983879698+0.351113832957j),(0.704649450053+0.371452049976j),(-0.817882035014-0.254748663386j),(-0.819378534386-0.269073742874j),36,(0.375132314699+0.495761412013j),(0.358554222029+0.523486965473j),(0.604034141702+0.416708710455j),(0.598980503508+0.440946498156j),(-0.240426281479+0.0825404673171j),(0.957534725536+0.964433463629j),(-0.228901827003+0.079052701558j),(0.979166456401+0.912470122469j)
(0.701780194858+0.354277014856j),(0.700318450411+0.374803608216j),(-0.820525521896-0.25208330918j),(-0.822066139429-0.266242920913j),37,(0.36698323864+0.497249185038j),(0.349968187254+0.524963764228j),(0.609716137316+0.413681577652j),(0.604907444659+0.43773858029j),(-0.254939257405+0.0872251839376j),(0.954875631913+0.962702344518j),(-0.242732898676+0.0835676073861j),(0.976699375956+0.91093076269j)
(0.697367991658+0.357567212442j),(0.695771550045+0.378288745827j),(-0.823224337985-0.249339038243j),(-0.824808532717-0.263328590875j),38,(0.358467804376+0.498711857647j),(0.340995674633+0.526405094098j),(0.615528354659+0.410523929383j),(0.610967168871+0.434391337324j),(-0.269971494238+0.0920137567742j),(0.951962843504+0.960796431422j),(-0.257060550283+0.0881879282639j),(0.973996159035+0.90923578703j)
(0.692736630591+0.360988138794j),(0.690997651478+0.381911253658j),(-0.825977134117-0.24651555803j),(-0.827604237131-0.260330472103j),39,(0.349571603013+0.500139413903j),(0.331621548678+0.527799558701j),(0.621468305733+0.407232428274j),(0.617156818611+0.430901203533j),(-0.285535269933+0.0968983551682j),(0.94877836729+0.958700762235j),(-0.271896702721+0.0929069856292j),(0.971039908746+0.907371842177j)
(0.687874648624+0.364543648453j),(0.685984797111+0.385675056076j),(-0.828782531305-0.243612591302j),(-0.83045174421-0.257248301468j),40,(0.340279460592+0.501520668175j),(0.321829892988+0.529134450186j),(0.627533389555+0.403803720153j),(0.623473410853+0.427264601299j),(-0.301643517865+0.101869848887j),(0.94530330384+0.956399051485j),(-0.287253928963+0.0977169480215j),(0.967812850147+0.905324388328j)
(0.682769685829+0.368237734937j),(0.68072009275+0.389584206259j),(-0.83163912142-0.240629877662j),(-0.833349514993-0.254081835004j),41,(0.330575414456+0.502843125187j),(0.311603990908+0.530395594038j),(0.633720890252+0.400234440093j),(0.62991383526+0.423477947938j),(-0.318309844352+0.1069176461j),(0.941517826168+0.953873541976j),(-0.303145475796+0.102608685094j),(0.964296304708+0.90307756528j)
(0.677408404148+0.372074526458j),(0.675189622997+0.393642879279j),(-0.834545467913-0.237567175098j),(-0.836295980893-0.250830849536j),42,(0.32044269277+0.504092822384j),(0.300926310596+0.531567174512j),(0.640027975331+0.396521218607j),(0.636474852579+0.419537662703j),(-0.335548541983+0.11202951181j),(0.937401163175+0.951104837215j),(-0.31958528256+0.107571603778j),(0.960470668101+0.900614040991j)
(0.671776397322+0.376058279406j),(0.669378357504+0.397855362491j),(-0.837500106573-0.234424261519j),(-0.839289544617-0.24749514432j),43,(0.30986369849+0.505254152245j),(0.289778496032+0.532631538137j),(0.646451694121+0.392660688011j),(0.643153093241+0.415440173942j),(-0.353374597209+0.117191364196j),(0.932931589273+0.948071712079j),(-0.336587995631+0.112593464233j),(0.95631539261+0.897914840256j)
(0.665858090936+0.38019336907j),(0.663270047027+0.40222604261j),(-0.840501546317-0.231200936297j),(-0.842328581122-0.24407454266j),44,(0.29881999938+0.506309661831j),(0.278141365929+0.533568972395j),(0.652988976416+0.388649488935j),(0.6499450562+0.411181926413j),(-0.37180369027+0.122387045982j),(0.928086422129+0.944750898808j),(-0.354168977036+0.117660172896j),(0.951808975796+0.894959150767j)
(0.659636631319+0.384484276974j),(0.656847108011+0.406759388741j),(-0.843548270027-0.227897021804j),(-0.845411438619-0.240568893535j),45,(0.287292326138+0.507239826516j),(0.265994922974+0.534357456301j),(0.659636631319+0.384484276974j),(0.656847108011+0.406759388741j),(-0.390852185037+0.12759806756j),(0.922842030984+0.941116845042j),(-0.372344305181+0.122755549543j),(0.946928957457+0.89172410349j)
(0.653093761939+0.38893557402j),(0.65009049431+0.411459930468j),(-0.846638735423-0.224512364938j),(-0.848536439614-0.236978073202j),46,(0.275260581146+0.508022794377j),(0.253318376411+0.534972379174j),(0.666391346308+0.380161729476j),(0.663855482174+0.402169061002j),(-0.410537105763+0.132803318172j),(0.917173858585+0.937141440176j),(-0.391130765162+0.127861064901j),(0.941651927454+0.888184523853j)
(0.646209685693+0.39355189852j),(0.642979554442+0.416332229925j),(-0.849771375965-0.221046838651j),(-0.851701881989-0.23330198679j),47,(0.262703861055+0.508634097293j),(0.240090181757+0.535386223393j),(0.673249686531+0.375678552467j),(0.670966278743+0.397407482442j),(-0.430876096987+0.137978740952j),(0.9110564605+0.932793705835j),(-0.410545825476+0.132955544826j),(0.935953547587+0.884312649759j)
(0.638962911296+0.398337927945j),(0.635491872571+0.421380846511j),(-0.852944601807-0.217500343452j),(-0.854906040128-0.229540569884j),48,(0.249600497173+0.509046324239j),(0.226288102298+0.53556820643j),(0.68020809435+0.371031487678j),(0.678175464225+0.392471239297j),(-0.451887361927+0.143096967133j),(0.904463566523+0.928039445727j),(-0.430607597177+0.138014836561j),(0.929808591522+0.880077811916j)
(0.631330081723+0.403298342986j),(0.627603091168+0.426610292683j),(-0.85615680078-0.213872808909j),(-0.858147166082-0.225693790078j),49,(0.235928118634+0.509228751672j),(0.211889298221+0.535483876824j),(0.687262889131+0.366217319699j),(0.685478871775+0.387356972716j),(-0.473589573554+0.148126904108j),(0.897368169996+0.92284084954j),(-0.451334770497+0.143011431973j),(0.923191007764+0.875446071371j)
(0.623285782366+0.408437782207j),(0.619286713024+0.43202497884j),(-0.859406339415-0.210164195127j),(-0.86142349077-0.221761648518j),50,(0.221663744566+0.509146925262j),(0.196870450586+0.535094658181j),(0.694410267313+0.361232883221j),(0.692872201697+0.382061386771j),(-0.496001751111+0.15303327141j),(0.889742652283+0.917156044952j),(-0.472746522747+0.147914042041j),(0.916074011878+0.870379808482j)
(0.614802326249+0.413760785189j),(0.610513879992+0.437629144957j),(-0.862691564005-0.20637449421j),(-0.864733225228-0.217744181414j),51,(0.206783913001+0.508762186489j),(0.181207929147+0.53435733457j),(0.701646302745+0.356075070361j),(0.700351022274+0.376581256539j),(-0.519143093127+0.157776078032j),(0.881558951421+0.910938591109j),(-0.494862389744+0.152687116128j),(0.908430215745+0.86483725685j)
(0.605849513272+0.419271721573j),(0.601253125474+0.443426776037j),(-0.866010801702-0.202503731702j),(-0.86807456189-0.213641461529j),52,(0.191264856221+0.508031136887j),(0.164878015186+0.533223470021j),(0.708966947311+0.350740838078j),(0.707910770917+0.370913436236j),(-0.543032755731+0.162310033785j),(0.872788786103+0.904136906258j),(-0.51770209109+0.157290298809j),(0.900231803532+0.858771974965j)
(0.596394360047+0.424974702855j),(0.591470097294+0.449421497863j),(-0.869362361652-0.198551968008j),(-0.87144567591-0.209453599633j),53,(0.175082734629+0.50690503189j),(0.147857193251+0.531638754135j),(0.716368031858+0.345227215636j),(0.715546755663+0.365054867408j),(-0.567689562412+0.166583886727j),(0.863403948914+0.896693621542j),(-0.541285297228+0.161677816254j),(0.891450766487+0.852132247527j)
(0.586400796393+0.430873473024j),(0.581127247169+0.455616448687j),(-0.872744536166-0.19451929978j),(-0.874844726519-0.205180745935j),54,(0.158213944255+0.505329095452j),(0.130122529087+0.529542265181j),(0.723845267421+0.339531312123j),(0.723254157016+0.359002587129j),(-0.593131627929+0.170539678052j),(0.853376686104+0.88854485231j),(-0.565631323166+0.165797783329j),(0.882059211676+0.844860407575j)
(0.575829324057+0.436971273263j),(0.570183482502+0.462014121524j),(-0.876155601924-0.190405861284j),(-0.878269858425-0.20082309147j),55,(0.140635516787+0.503241745831j),(0.11165215523+0.526865641551j),(0.731394246771+0.333650324007j),(0.731028030151+0.352753736228j),(-0.619375874921+0.174111905323j),(0.842680185381+0.879619377778j),(-0.590758729984+0.169591421825j),(0.872029763558+0.836892069838j)
(0.564636632611+0.443270674797j),(0.55859377574+0.468616170513j),(-0.879593821215-0.186211825735j),(-0.881719203239-0.196380869456j),56,(0.122325635751+0.500573722304j),(0.0924258910298+0.523532152119j),(0.739010446275+0.327581542707j),(0.738863307471+0.346305567496j),(-0.646437416442+0.177226584623j),(0.831289198501+0.869837719615j),(-0.616684810524+0.172992179597j),(0.861336082027+0.828155265012j)
(0.552775166838+0.449773372571j),(0.546308725968+0.475423173269j),(-0.88305744321-0.181937406592j),(-0.885190880938-0.191854356608j),57,(0.103264298399+0.497247102125j),(0.0724260303883+0.519455656168j),(0.746689228092+0.321322362179j),(0.746754801546+0.339655453876j),(-0.674328771158+0.179800202293j),(0.819180831935+0.859111110044j),(-0.643424929692+0.175924739946j),(0.849953526491+0.818569464304j)
(0.540192639219+0.456479930725j),(0.533274066855+0.482434339276j),(-0.88654470527-0.177582858828j),(-0.888683001368-0.187243874415j),58,(0.0834341603124+0.493174197057j),(0.0516383386666+0.514539444192j),(0.754425842693+0.314870286482j),(0.754697208415+0.332800896605j),(-0.703058869748+0.181738547587j),(0.806335547081+0.847340340797j),(-0.67099168238+0.178303910576j),(0.837860003005+0.808044483539j)
(0.526831480344+0.463389468598j),(0.519430114518+0.489647152035j),(-0.890053834276-0.173148480157j),(-0.892193665766-0.182549790365j),59,(0.0628216090735+0.488256319435j),(0.0300533103727+0.50867495251j),(0.762215431729+0.308222937325j),(0.76268511127+0.3257395333j),(-0.732631800898+0.182935419209j),(0.792738421643+0.83441448581j),(-0.699393822655+0.18003338211j),(0.825037040802+0.79647925676j)
(0.512628219349+0.47049927332j),(0.504711148352+0.497056929738j),(-0.893583048-0.16863461222j),(-0.895720968319-0.177772519135j),60,(0.0414181250781+0.482382409375j),(0.00766775186978+0.501740347609j),(0.770053031234+0.301378061571j),(0.770712984526+0.318469145959j),(-0.763045232656+0.18327120165j),(0.778380736396+0.820209493568j),(-0.728634906156+0.181004347803j),(0.811471156312+0.783760470946j)
(0.497512785678+0.477804321542j),(0.489044717431+0.504656285633j),(-0.897130556496-0.164041641737j),(-0.89926299775-0.172912523723j),61,(0.0192220022286+0.475427518038j),(-0.0155132309816+0.493598981214j),(0.777933575174+0.29433353868j),(0.778775198261+0.310987668863j),(-0.794288429243+0.18261131235j),(0.76326196728+0.804586650077j),(-0.758711572946+0.181093979358j),(0.797155577403+0.769761056718j)
(0.481407722801+0.485296688586j),(0.472350864918+0.512434464628j),(-0.900694563522-0.159370001608j),(-0.902817838928-0.167970316537j),62,(-0.00375948038031+0.46725114747j),(-0.0394737409496+0.484097725162j),(0.785851899346+0.287087388073j),(0.786866023049+0.30329319636j),(-0.826339763999+0.180804528802j),(0.7473922821+0.787390921523j),(-0.789611379726+0.180163759397j),(0.782092418966+0.754338535543j)
(0.46422730404+0.492964817807j),(0.454541262995+0.520376527063j),(-0.904273267987-0.154620171971j),(-0.906383574506-0.162946460427j),63,(-0.0275073217792+0.457695456713j),(-0.0641839701523+0.473065207689j),(0.793802745616+0.279637776411j),(0.794979635168+0.29538399051j),(-0.859163605321+0.177681217179j),(0.730795665016+0.768449198198j),(-0.821310067395+0.178057680303j),(0.766295423837+0.737333233124j)
(0.44587654046+0.500792616077j),(0.435518251495+0.528462343381j),(-0.907864865418-0.149792681218j),(-0.909958286574-0.157841569664j),64,(-0.0519873549852+0.446583358289j),(-0.089596300986+0.46030999154j),(0.801780766514+0.271983024748j),(0.80311012219+0.287258488564j),(-0.892706423176+0.173051502976j),(0.713513821204+0.747568480104j),(-0.853768121499+0.17460033354j),(0.749793411528+0.718566383037j)
(0.426250071244+0.508758332649j),(0.415173774939+0.536665354606j),(-0.911467549451-0.144888106949j),(-0.913540058341-0.15265631087j),65,(-0.0771459178043+0.433716551076j),(-0.115640439437+0.445618762302j),(0.809780530167+0.264121615571j),(0.811251488945+0.278915310276j),(-0.926891928381+0.166703452026j),(0.695611049508+0.724534072577j),(-0.886926447971+0.169594935504j),(0.732634612363+0.697838166647j)
(0.405230928308+0.516833167646j),(0.393388215476+0.544951042386j),(-0.915079513346-0.139907076894j),(-0.917126975828-0.147391403876j),66,(-0.102904417922+0.418873568612j),(-0.142217350522+0.428754636172j),(0.81779652558+0.256052199675j),(0.819397663855+0.270353264999j),(-0.961615014377+0.158401371173j),(0.677180313333+0.699107901172j),(-0.920700943502+0.162821368936j),(0.714892107659+0.674925768287j)
